# object, x, y, z, voltage
2.000000000000000000e+00,-7.000000000000000000e+00,4.000000000000000000e+00,-5.000000000000000000e+00,1.044742986559900055e-01
3.000000000000000000e+00,-7.000000000000000000e+00,4.000000000000000000e+00,-5.000000000000000000e+00,6.124804168939600169e-02
0.000000000000000000e+00,-7.000000000000000000e+00,4.000000000000000000e+00,-4.000000000000000000e+00,6.187092885374999990e-02
1.000000000000000000e+00,-7.000000000000000000e+00,4.000000000000000000e+00,-4.000000000000000000e+00,6.040455028414699890e-02
2.000000000000000000e+00,-7.000000000000000000e+00,4.000000000000000000e+00,-4.000000000000000000e+00,1.096264123916600025e-01
3.000000000000000000e+00,-7.000000000000000000e+00,4.000000000000000000e+00,-4.000000000000000000e+00,6.628870964050299908e-02
0.000000000000000000e+00,-6.000000000000000000e+00,-4.000000000000000000e+00,-5.000000000000000000e+00,7.870655506849300043e-02
1.000000000000000000e+00,-6.000000000000000000e+00,-4.000000000000000000e+00,-5.000000000000000000e+00,5.349034070968600174e-02
2.000000000000000000e+00,-6.000000000000000000e+00,-4.000000000000000000e+00,-5.000000000000000000e+00,7.499206066131600124e-02
3.000000000000000000e+00,-6.000000000000000000e+00,-4.000000000000000000e+00,-5.000000000000000000e+00,6.868963688611999518e-02
0.000000000000000000e+00,-6.000000000000000000e+00,-4.000000000000000000e+00,-4.000000000000000000e+00,8.279803395271299882e-02
1.000000000000000000e+00,-6.000000000000000000e+00,-4.000000000000000000e+00,-4.000000000000000000e+00,5.570504814386399717e-02
2.000000000000000000e+00,-6.000000000000000000e+00,-4.000000000000000000e+00,-4.000000000000000000e+00,7.844196259975400043e-02
3.000000000000000000e+00,-6.000000000000000000e+00,-4.000000000000000000e+00,-4.000000000000000000e+00,7.479327172040900473e-02
0.000000000000000000e+00,-6.000000000000000000e+00,4.000000000000000000e+00,-5.000000000000000000e+00,6.669814139604600400e-02
1.000000000000000000e+00,-6.000000000000000000e+00,4.000000000000000000e+00,-5.000000000000000000e+00,6.705830246210099654e-02
2.000000000000000000e+00,-6.000000000000000000e+00,4.000000000000000000e+00,-5.000000000000000000e+00,1.307864636182800022e-01
3.000000000000000000e+00,-6.000000000000000000e+00,4.000000000000000000e+00,-5.000000000000000000e+00,6.883210688829399793e-02
0.000000000000000000e+00,-6.000000000000000000e+00,4.000000000000000000e+00,-4.000000000000000000e+00,7.011150568723699406e-02
1.000000000000000000e+00,-6.000000000000000000e+00,4.000000000000000000e+00,-4.000000000000000000e+00,7.001374661922500631e-02
2.000000000000000000e+00,-6.000000000000000000e+00,4.000000000000000000e+00,-4.000000000000000000e+00,1.375275850295999969e-01
3.000000000000000000e+00,-6.000000000000000000e+00,4.000000000000000000e+00,-4.000000000000000000e+00,7.490157335996600052e-02
0.000000000000000000e+00,-5.500000000000000000e+00,-3.000000000000000000e+00,-6.000000000000000000e+00,8.465938270091999396e-02
1.000000000000000000e+00,-5.500000000000000000e+00,-3.000000000000000000e+00,-6.000000000000000000e+00,5.893789604306200192e-02
2.000000000000000000e+00,-5.500000000000000000e+00,-3.000000000000000000e+00,-6.000000000000000000e+00,8.571716398000700510e-02
3.000000000000000000e+00,-5.500000000000000000e+00,-3.000000000000000000e+00,-6.000000000000000000e+00,7.166967540979400642e-02
0.000000000000000000e+00,-5.500000000000000000e+00,-3.000000000000000000e+00,-5.000000000000000000e+00,8.863767981529199758e-02
1.000000000000000000e+00,-5.500000000000000000e+00,-3.000000000000000000e+00,-5.000000000000000000e+00,6.043612957000699809e-02
2.000000000000000000e+00,-5.500000000000000000e+00,-3.000000000000000000e+00,-5.000000000000000000e+00,8.941947668790800607e-02
