# x,y,z,Ex,Ey,Ez
2.497874999999999956e-01,-1.025720600000000005e+01,-1.298381200000000035e+01,8.552491200000000458e-04,-2.092034400000000044e-02,-2.528795799999999927e-02
7.497875000000000512e-01,-1.025720600000000005e+01,-1.298381200000000035e+01,1.873320200000000001e-03,-2.083648600000000128e-02,-2.519457799999999872e-02
1.249787500000000051e+00,-1.025720600000000005e+01,-1.298381200000000035e+01,2.869606700000000045e-03,-2.069126300000000140e-02,-2.502803500000000056e-02
1.749787500000000051e+00,-1.025720600000000005e+01,-1.298381200000000035e+01,3.837928200000000067e-03,-2.049475300000000097e-02,-2.479165200000000083e-02
2.249787500000000051e+00,-1.025720600000000005e+01,-1.298381200000000035e+01,4.775254999999999951e-03,-2.024166100000000107e-02,-2.449004399999999901e-02
2.749787500000000051e+00,-1.025720600000000005e+01,-1.298381200000000035e+01,5.669551000000000104e-03,-1.993879999999999958e-02,-2.412322199999999972e-02
3.249787500000000051e+00,-1.025720600000000005e+01,-1.298381200000000035e+01,6.518754199999999936e-03,-1.958540799999999860e-02,-2.369798000000000043e-02
3.749787500000000051e+00,-1.025720600000000005e+01,-1.298381200000000035e+01,7.319004700000000287e-03,-1.919008999999999993e-02,-2.322451600000000060e-02
4.249787500000000051e+00,-1.025720600000000005e+01,-1.298381200000000035e+01,8.068703099999999587e-03,-1.875945000000000043e-02,-2.270891900000000102e-02
4.749787500000000051e+00,-1.025720600000000005e+01,-1.298381200000000035e+01,8.761915400000000465e-03,-1.829699799999999835e-02,-2.215242799999999831e-02
5.249787500000000051e+00,-1.025720600000000005e+01,-1.298381200000000035e+01,9.393143499999999368e-03,-1.781110500000000069e-02,-2.156863700000000161e-02
5.749787500000000051e+00,-1.025720600000000005e+01,-1.298381200000000035e+01,9.966551299999999378e-03,-1.730572799999999939e-02,-2.096236300000000122e-02
6.249787500000000051e+00,-1.025720600000000005e+01,-1.298381200000000035e+01,1.047564900000000007e-02,-1.678302099999999866e-02,-2.033383399999999855e-02
